,value
day_of_month,0.0863958729694125
day_of_week,0.22602997179411294
dep_hour,0.1348461048395056
op_carrier_fl_num,0.09515989569188767
month,0.028370253856343536
distance,0.10954048674208092
carrier_Delta,9.87459887362043e-05
carrier_SouthWest,0.0003788850240727473
carrier_American,5.537677316417567e-05
carrier_United,5.853029506067665e-05
carrier_Frontier Airlines,1.210338540438176e-05
origin_ORD,0.00013033009764452068
dest_EWR,0.00015160873367392867
dest_ATL,0.00012184728927369288
dest_DFW,0.00025645253594831335
carrier_JetBlue,1.2001381571076265e-05
dest_LGA,0.00016938246682337047
origin_DFW,0.00011315467713530664
origin_LGA,0.0003460332523732785
origin_EWR,6.198702838714965e-05
dest_SFO,0.0003011945829455303
origin_DEN,0.00033703597482645666
dest_ORD,5.544233614994237e-05
origin_ATL,0.00013212388205930135
origin_SFO,0.000570116750288916
origin_BOS,0.0032989622418127707
dest_DEN,0.00019400532521272236
dest_IAH,0.0009022547688886613
dest_SEA,0.00024563384028419946
dest_BOS,0.00011582349421352715
carrier_Spirit Airlines,0.00047606786818733663
origin_MSP,0.000162524427993619
dest_CLT,0.00035854740913030545
origin_SLC,6.705417765610573e-05
origin_SEA,3.109396265188621e-05
dest_SLC,7.288380141500422e-05
origin_IAH,0.00024165190750704386
carrier_Hawaiian Airlines,0.00021053349281366759
dest_LAX,0.0004024142480433743
dest_DTW,0.0001412658490063194
origin_DTW,0.00022675795716946403
carrier_Allegiant Air,6.948813186607319e-05
dest_MSP,1.926461558635542e-06
origin_CLT,0.00020789742854608858
dest_LAS,0.00011932154548803711
origin_PHL,0.00016069990304936352
origin_LAS,0.0008988748753674922
origin_PHX,0.0005601395278664556
origin_MCO,0.002888196091072255
origin_LAX,7.599159135996466e-05
dest_PHX,1.990496554810305e-05
origin_MDW,0.00032127912554570745
dest_PHL,0.0002173223134867894
origin_FLL,0.00018268807044147126
origin_MIA,0.00012795097719057747
dest_FLL,4.2633594783479816e-05
dest_DCA,0.0003348269254926923
dest_BWI,0.00038021481550632743
origin_DCA,0.0004949937850681363
dest_MCO,0.0005227117854799188
origin_IAD,0.0011154600097503494
origin_PDX,0.00020403265221763948
origin_DAL,0.00021159008121216687
dest_IAD,0.00032964897791494904
origin_JFK,8.838139290973016e-05
origin_BWI,6.022390018576025e-05
dest_JFK,2.070419899875027e-05
origin_SAN,0.0002681886018342989
dest_MIA,0.000292601078325875
origin_HNL,0.0006126270716971455
